StartTime, EndTime, Usage (kW h)
20110506T182648.814Z,20110506T183649.814Z,0.041986527777778
20110506T183650.401Z,20110506T184651.401Z,0.043238611111111
20110506T184652.041Z,20110506T185653.041Z,0.042570833333333
20110506T185654.287Z,20110506T190655.287Z,0.038397222222222
20110506T190655.973Z,20110506T191656.973Z,0.037061666666667
20110506T191659.327Z,20110506T192700.327Z,0.037979861111111
20110506T192701.083Z,20110506T193703.083Z,0.03913
20110506T193704.679Z,20110506T194707.679Z,0.0346725
20110506T194708.390Z,20110506T195709.390Z,0.038647638888889
20110506T195709.814Z,20110506T200710.814Z,0.04207
20110506T200711.212Z,20110506T201711.212Z,0.041
20110506T201712.634Z,20110506T202713.634Z,0.040734444444444
20110506T202714.000Z,20110506T203703.000Z,0.035585416666667
20110506T203704.586Z,20110506T204705.586Z,0.041235277777778
20110506T204706.241Z,20110506T205707.241Z,0.041068333333333
20110506T205707.972Z,20110506T210708.972Z,0.038647638888889
20110506T210709.528Z,20110506T211710.528Z,0.040650972222222
20110506T211711.031Z,20110506T212711.031Z,0.038166666666667
20110506T212712.440Z,20110506T213713.440Z,0.040317083333333
